Day,Volume (In Mn.),Value (In Cr.)
2022-02-10,164.63,31703.55
2022-02-11,166.5,30697.0
2022-02-12,163.28,27942.54
2022-02-13,158.84,22271.87
2022-02-14,167.59,32609.4
2022-02-15,164.96,31888.77
2022-02-16,165.32,30212.49
2022-02-17,159.99,29053.85
2022-02-18,161.09,27226.8
2022-02-19,155.83,25778.25
2022-02-20,154.94,21128.33
2022-02-21,157.81,29480.41
2022-02-22,147.4,27023.99
2022-02-23,142.12,24444.21
2022-02-24,167.92,32003.16
2022-02-25,159.93,29271.51
2022-02-26,160.68,26149.22
2022-02-27,157.29,21228.83
2022-02-28,159.41,34896.42
2022-03-01,171.16,33758.22
2022-03-02,179.46,37033.35
2022-03-03,179.45,36252.3
2022-03-04,177.9,35210.29
2022-03-05,184.02,35370.65
2022-03-06,172.57,26113.76
2022-03-07,181.78,37285.22
2022-03-08,179.37,34545.89
2022-03-09,180.82,34882.05
2022-03-10,181.54,34890.75
2022-03-11,178.34,32377.05
2022-03-12,176.52,29318.33
2022-03-13,170.4,23152.81
2022-03-14,177.44,33957.67
2022-03-15,176.69,33340.64
2022-03-16,180.46,33221.88
2022-03-17,180.75,31166.73
2022-03-18,148.93,18869.04
2022-03-19,164.48,25247.27
2022-03-20,158.86,21237.31
2022-03-21,172.3,31841.8
2022-03-22,167.3,29566.9
2022-03-23,169.86,29859.79
2022-03-24,169.58,29588.27
2022-03-25,170.93,29741.97
2022-03-26,176.05,27909.08
2022-03-27,170.9,21937.12
2022-03-28,171.37,30755.25
2022-03-29,171.62,29737.75
2022-03-30,177.2,33222.54
2022-03-31,187.59,39189.99
2022-04-01,176.0,38167.32
2022-04-02,190.44,34757.09
2022-04-03,181.67,33265.3
2022-04-04,193.3,32036.03
2022-04-05,192.14,31339.7
2022-04-06,189.19,37401.11
2022-04-07,192.49,37184.6
2022-04-08,191.59,35133.63
2022-04-09,196.38,33429.07
2022-04-10,182.96,26380.29
2022-04-11,192.09,37147.71
2022-04-12,193.43,36141.16
2022-04-13,195.94,22271.87
2022-04-14,185.43,32609.4
2022-04-15,180.74,31888.77
2022-04-16,184.72,30212.49
2022-04-17,177.61,23899.87
2022-04-18,184.71,34476.4
2022-04-19,184.84,33348.27
2022-04-20,186.4,33512.38
2022-04-21,183.36,31649.72
2022-04-22,184.13,30687.21
2022-04-23,183.04,28361.39
2022-04-24,167.91,22341.42
2022-04-25,182.16,33631.18
2022-04-26,182.04,32293.94
2022-04-27,183.28,32147.43
2022-04-28,181.48,31645.31
2022-04-29,184.96,34089.13
2022-04-30,198.63,38589.29
2022-05-01,205.4,35380.47
2022-05-02,208.22,43127.73
2022-05-03,186.15,32528.65
2022-05-04,194.5,39142.74
2022-05-05,199.54,40116.7
2022-05-06,197.21,38218.9
2022-05-07,206.06,37753.22
2022-05-08,195.41,28907.36
2022-05-09,199.41,39710.68
2022-05-10,194.3,37570.27
2022-05-11,197.42,36863.35
2022-05-12,193.69,33771.63
2022-05-13,194.34,37429.32
2022-05-14,192.79,31230.91
2022-05-15,188.45,25653.0
2022-05-16,188.77,33249.98
2022-05-17,187.29,33295.35
2022-05-18,194.9,34027.49
2022-05-19,190.19,32947.73
2022-05-20,190.02,31912.52
2022-05-21,189.8,30865.04
2022-05-22,182.61,23763.95
2022-05-23,187.03,32828.94
2022-05-24,189.0,31870.42
2022-05-25,188.37,31845.24
2022-05-26,184.6,31197.03
2022-05-27,183.47,29522.85
2022-05-28,186.07,29069.75
2022-05-29,185.21,23047.36
2022-05-30,183.64,33628.62
2022-05-31,191.32,39743.33
2022-06-01,208.49,42008.82
2022-06-02,211.43,43887.84
2022-06-03,203.82,38200.28
2022-06-04,205.13,35010.94
2022-06-05,200.8,34073.12
2022-06-06,202.34,39158.04
2022-06-07,205.99,37704.57
2022-06-08,207.59,38922.92
2022-06-09,204.24,36686.89
2022-06-10,202.18,36538.99
2022-06-11,203.71,33508.5
2022-06-12,195.25,26074.45
2022-06-13,200.67,37447.27
2022-06-14,198.67,34441.89
2022-06-15,204.03,35105.4
2022-06-16,201.74,34093.76
2022-06-17,196.29,32304.39
2022-06-18,181.9,29385.68
2022-06-19,167.08,22291.5
2022-06-20,187.81,34282.55
2022-06-21,190.45,32914.38
2022-06-22,188.55,31969.65
2022-06-23,185.43,30994.9
2022-06-24,190.49,31022.28
2022-06-25,189.8,29437.83
2022-06-26,186.51,23014.68
2022-06-27,190.88,33292.2
2022-06-28,189.41,31772.75
2022-06-29,182.2,31620.08
2022-06-30,179.88,37246.08
2022-07-01,211.04,43831.02
2022-07-02,213.41,42108.81
2022-07-03,204.95,32114.33
2022-07-04,209.32,42995.32
2022-07-05,207.79,41456.59
2022-07-06,209.34,39822.21
2022-07-07,212.03,39624.23
2022-07-08,207.96,37817.79
2022-07-09,210.07,35896.16
2022-07-10,193.24,26632.94
2022-07-11,200.1,37142.02
2022-07-12,201.12,35038.16
2022-07-13,198.95,34242.77
2022-07-14,202.36,34743.09
2022-07-15,201.9,33702.42
2022-07-16,201.36,32704.58
2022-07-17,197.55,25086.78
2022-07-18,198.02,33652.23
2022-07-19,199.72,32665.89
2022-07-20,206.01,34113.78
2022-07-21,199.56,32083.3
2022-07-22,198.49,30587.13
2022-07-23,196.12,29270.86
2022-07-24,192.24,23283.4
2022-07-25,196.39,33362.36
2022-07-26,195.11,31535.55
2022-07-27,203.08,32141.8
2022-07-28,197.11,31311.84
2022-07-29,203.04,35222.25
2022-07-30,213.22,38375.84
2022-07-31,207.82,30551.59
2022-08-01,217.13,43568.17
2022-08-02,223.15,42085.99
2022-08-03,211.58,38693.87
2022-08-04,216.88,40079.82
2022-08-05,205.43,35859.8
2022-08-06,224.87,39064.52
2022-08-07,212.48,29906.75
2022-08-08,216.2,39627.08
2022-08-09,210.46,34997.87
2022-08-10,225.82,41043.38
2022-08-11,223.56,36349.91
2022-08-12,209.45,33508.36
2022-08-13,208.75,32266.78
2022-08-14,199.25,25307.67
2022-08-15,194.66,25414.14
2022-08-16,208.74,35358.46
2022-08-17,213.4,36034.3
2022-08-18,214.52,35365.86
2022-08-19,207.27,31204.93
2022-08-20,210.4,33072.27
2022-08-21,201.26,25174.59
2022-08-22,209.81,35304.68
2022-08-23,206.51,33735.52
2022-08-24,208.28,33988.13
2022-08-25,210.63,34666.38
2022-08-26,205.14,32104.76
2022-08-27,214.65,31003.69
2022-08-28,213.34,24581.62
2022-08-29,213.88,36565.66
2022-08-30,225.58,40909.83
2022-08-31,216.55,36317.38
2022-09-01,231.2,46102.69
2022-09-02,234.44,42755.56
2022-09-03,234.34,41387.77
2022-09-04,222.21,32092.83
2022-09-05,232.12,44581.11
2022-09-06,228.84,41284.01
2022-09-07,229.89,41648.13
2022-09-08,226.98,39016.03
2022-09-09,222.05,37027.98
2022-09-10,224.94,36076.21
2022-09-11,222.26,28818.13
2022-09-12,224.26,39419.29
2022-09-13,221.91,37206.64
2022-09-14,225.36,37938.12
2022-09-15,224.57,37563.76
2022-09-16,225.53,36237.8
2022-09-17,226.72,33100.06
2022-09-18,214.05,25809.84
2022-09-19,220.33,36275.55
2022-09-20,222.25,35652.81
2022-09-21,222.26,35651.91
2022-09-22,225.37,37245.02
2022-09-23,224.08,35202.31
2022-09-24,225.49,33468.05
2022-09-25,222.46,26617.01
2022-09-26,226.41,38681.13
2022-09-27,224.35,37077.33
2022-09-28,229.4,37494.05
2022-09-29,226.14,38173.16
2022-09-30,240.59,46833.8
2022-10-01,258.65,50382.75
2022-10-02,248.36,39039.52
2022-10-03,248.02,47218.26
2022-10-04,239.69,42082.91
2022-10-05,227.2,34258.45
2022-10-06,233.15,41501.46
2022-10-07,232.97,41204.09
2022-10-08,236.57,39710.25
2022-10-09,229.06,32190.94
2022-10-10,241.0,47027.29
2022-10-11,243.49,43642.01
2022-10-12,245.08,42412.68
2022-10-13,239.99,40387.93
2022-10-14,235.27,38748.95
2022-10-15,241.63,39499.74
2022-10-16,238.49,31327.83
2022-10-17,235.71,40125.1
2022-10-18,240.26,39917.14
2022-10-19,245.87,40856.85
2022-10-20,242.7,42218.85
2022-10-21,251.4,44598.12
2022-10-22,260.81,44832.58
2022-10-23,252.01,36622.22
2022-10-24,223.33,27690.79
2022-10-25,198.83,29351.82
2022-10-26,214.45,32555.4
2022-10-27,214.96,34451.97
2022-10-28,216.24,36086.52
2022-10-29,220.81,36208.01
2022-10-30,217.29,28111.77
2022-10-31,232.11,47325.3
2022-11-01,249.44,50700.08
2022-11-02,250.02,47432.82
2022-11-03,243.48,45208.17
2022-11-04,245.26,43645.17
2022-11-05,252.83,44653.94
2022-11-06,242.48,33841.13
2022-11-07,245.25,45347.9
2022-11-08,234.88,38528.36
2022-11-09,251.47,43709.26
2022-11-10,253.47,44760.22
2022-11-11,244.35,41603.7
2022-11-12,247.37,37328.49
2022-11-13,246.07,29862.99
2022-11-14,246.18,41601.59
2022-11-15,246.71,41038.85
2022-11-16,246.01,39877.66
2022-11-17,241.94,38887.99
2022-11-18,241.52,36774.04
2022-11-19,243.56,36893.0
2022-11-20,239.2,30141.8
2022-11-21,226.55,37029.58
2022-11-22,242.05,38450.98
2022-11-23,241.15,37158.59
2022-11-24,239.06,37188.36
2022-11-25,241.31,37146.94
2022-11-26,241.44,35261.16
2022-11-27,234.14,27955.44
2022-11-28,235.99,38785.39
2022-11-29,238.96,39732.25
2022-11-30,257.32,50047.55
2022-12-01,269.21,53457.06
2022-12-02,266.03,48531.22
2022-12-03,264.1,46558.2
2022-12-04,252.48,37265.1
2022-12-05,263.02,50169.23
2022-12-06,257.14,46197.13
2022-12-07,258.4,46284.96
2022-12-08,251.5,43719.07
2022-12-09,248.86,42421.34
2022-12-10,253.78,41177.7
2022-12-11,250.84,33518.33
2022-12-12,253.91,45151.66
2022-12-13,255.8,43440.05
2022-12-14,259.83,42458.09
2022-12-15,256.14,42710.62
2022-12-16,251.75,39520.11
2022-12-17,248.84,37570.68
2022-12-18,241.28,29305.27
2022-12-19,250.28,40811.37
2022-12-20,249.66,41271.64
2022-12-21,250.1,40183.79
2022-12-22,247.38,39160.3
2022-12-23,247.8,38502.18
2022-12-24,247.19,36227.07
2022-12-25,233.16,28116.81
2022-12-26,243.06,39846.63
2022-12-27,240.92,38765.65
2022-12-28,240.51,38372.59
2022-12-29,244.67,39919.76
2022-12-30,255.39,44912.73
2022-12-31,276.47,46424.52
2023-01-01,257.8,35576.8
2023-01-02,264.12,50488.22
2023-01-03,261.61,47767.96
2023-01-04,266.41,50171.67
2023-01-05,267.78,48732.35
2023-01-06,260.35,45665.71
2023-01-07,272.13,46858.16
2023-01-08,260.79,36760.43
2023-01-09,268.35,50045.65
2023-01-10,270.38,48440.96
2023-01-11,270.38,46672.56
2023-01-12,270.89,45229.12
2023-01-13,273.24,43782.2
2023-01-14,263.45,37799.6
2023-01-15,242.02,30014.56
2023-01-16,249.82,40226.62
2023-01-17,249.05,39728.11
2023-01-18,257.89,41137.76
2023-01-19,254.53,40937.69
2023-01-20,260.83,41418.89
2023-01-21,264.74,39750.27
2023-01-22,252.13,31046.89
2023-01-23,256.28,41835.44
2023-01-24,257.38,40626.95
2023-01-25,262.49,42730.7
2023-01-26,241.04,31062.8
2023-01-27,252.88,40158.06
2023-01-28,246.81,36651.22
2023-01-29,242.51,29669.35
2023-01-30,250.7,44557.68
2023-01-31,268.1,53514.4
2023-02-01,288.98,58075.13
2023-02-02,280.45,53349.07
2023-02-03,274.23,48928.42
2023-02-04,283.59,50154.95
2023-02-05,272.45,39708.7
2023-02-06,272.15,49382.48
2023-02-07,280.23,51094.93
2023-02-08,268.79,46745.96
2023-02-09,281.71,48838.54
2023-02-10,270.53,45521.66
2023-02-11,267.8,42389.83
2023-02-12,263.75,33672.53
2023-02-13,261.38,44763.87
2023-02-14,273.86,46194.43
2023-02-15,275.02,46219.11
2023-02-16,253.04,40478.39
2023-02-17,272.54,41977.12
2023-02-18,260.48,35674.95
2023-02-19,255.47,31261.7
2023-02-20,269.3,45260.1
2023-02-21,265.1,42897.62
2023-02-22,260.46,41562.95
2023-02-23,261.96,40906.88
2023-02-24,261.96,40347.83
2023-02-25,260.6,39270.42
2023-02-26,253.55,30904.86
2023-02-27,264.29,45348.53
2023-02-28,281.09,54915.62
2023-03-01,301.21,59817.25
2023-03-02,281.36,53383.73
2023-03-03,294.11,52497.8
2023-03-04,298.54,53722.03
2023-03-05,287.01,42705.74
2023-03-06,297.65,55488.96
2023-03-07,278.19,43805.38
2023-03-08,260.56,38788.84
2023-03-09,273.01,45891.88
2023-03-10,291.23,51625.61
2023-03-11,282.24,44702.23
2023-03-12,272.12,35015.26
2023-03-13,284.21,49324.67
2023-03-14,285.19,48479.42
2023-03-15,285.37,48315.2
2023-03-16,280.66,45720.01
2023-03-17,278.46,41896.47
2023-03-18,275.71,41909.31
2023-03-19,267.62,33235.82
2023-03-20,276.46,46652.05
2023-03-21,282.93,44602.04
2023-03-22,273.26,39965.47
2023-03-23,271.55,42864.52
2023-03-24,271.19,42625.03
2023-03-25,274.56,41335.82
2023-03-26,269.55,32424.0
2023-03-27,275.53,45897.16
2023-03-28,275.91,45057.3
2023-03-29,278.3,45843.3
2023-03-30,266.57,42465.52
2023-03-31,295.05,48892.77
2023-04-01,309.62,51067.88
2023-04-02,270.59,40107.32
